robot_id,serial_number,model,manufacturer,robot_type,manufacture_date,installation_date,operational_status,max_payload_kg,max_speed_mps,battery_capacity_wh,sensor_type,software_version,home_zone,color,weight_kg,height_cm,width_cm,maintenance_cycle_days,total_operational_hours
106626,SN1416849,AMR-200,Boston Dynamics,Sorter,2019-07-31,2019-10-26,Active,1443.5,2.77,10724,Ultrasonic,v2.0.6,Zone-B,Blue,481.3,170,125,60,5395.7
108924,SN8384552,AGV-Pro,Locus Robotics,Cobotic Arm,2018-06-19,2018-08-07,Active,678.6,3.47,8676,LiDAR,v4.2.6,Zone-A,Orange,422.8,65,75,90,12284.4
117571,SN2451176,HeavyLifter,GreyOrange,AMR,2021-12-12,2022-04-27,Active,275.4,3.29,10575,LiDAR,v3.4.6,Zone-B,Grey,57.7,135,72,90,13325.2
119450,SN7744175,NavBot-V2,Geek+,Sorter,2022-07-11,2022-10-31,Idle,329.3,2.01,7116,LiDAR,v2.3.0,Zone-B,Orange,412.8,177,64,90,5986.5
120440,SN6588597,SortBot-X,Locus Robotics,Sorter,2024-12-03,2025-05-06,Active,147.3,2.1,5726,Stereo Camera,v3.8.7,Zone-B,Yellow,232.9,123,63,30,14879.6
120523,SN3590693,NavBot-V2,Locus Robotics,AMR,2024-02-03,2024-06-17,Active,5.8,1.44,4005,LiDAR,v2.6.2,Zone-C,White,293.9,183,91,90,1335.8
127736,SN4812484,NavBot-V2,Boston Dynamics,Palletizer,2024-05-31,2024-07-22,Decommissioned,650.8,2.82,11076,LiDAR,v2.1.17,Zone-G,Yellow,529.8,173,51,180,203.5
131223,SN2060594,AGV-Pro,GreyOrange,AGV,2022-08-05,2022-09-14,Decommissioned,1155.0,2.79,8427,Stereo Camera,v5.5.12,Zone-B,White,413.2,70,132,60,2222.2
133536,SN9881056,AMR-500,Boston Dynamics,Cobotic Arm,2020-05-31,2020-09-01,Under Maintenance,1101.5,3.03,2447,Stereo Camera,v4.5.10,Zone-C,Grey,101.8,149,96,90,2816.6
133671,SN3145046,PalletBot,Fetch Robotics,Palletizer,2020-11-25,2021-03-07,Reserved,53.1,3.19,11492,Ultrasonic,v5.6.1,Zone-B,Yellow,86.2,87,140,30,15821.9
137452,SN3778104,PickBot-3,Locus Robotics,AGV,2018-10-24,2018-12-29,Idle,857.1,1.8,898,Fusion,v3.8.8,Zone-F,Yellow,173.0,137,95,30,7655.4
139423,SN5525873,AMR-500,Locus Robotics,Sorter,2020-10-17,2021-03-13,Idle,235.7,2.8,7132,ToF,v2.7.12,Zone-A,White,177.0,121,73,365,4956.0
152472,SN7051423,AMR-200,Boston Dynamics,AMR,2020-05-19,2020-09-13,Idle,1411.9,2.92,2448,LiDAR,v4.3.2,Zone-A,Yellow,498.4,189,96,90,7729.1
157435,SN5547491,SortBot-X,GreyOrange,Sorter,2017-11-17,2018-04-08,Active,255.2,1.43,8039,LiDAR,v3.3.18,Zone-C,Yellow,166.9,198,56,90,7113.2
158460,SN5546251,AMR-500,GreyOrange,Cobotic Arm,2019-05-23,2019-07-08,Active,941.8,3.29,5069,Fusion,v3.1.8,Zone-E,White,708.9,133,130,60,5433.3
161127,SN6243798,NavBot-V2,Geek+,AMR,2021-07-19,2021-12-18,Active,492.7,0.78,5358,LiDAR,v5.4.7,Zone-F,Grey,191.5,145,119,365,2490.8
168708,SN8719267,AMR-200,Geek+,AGV,2020-07-29,2020-09-27,Idle,964.1,3.48,8124,Stereo Camera,v4.5.5,Zone-D,Grey,100.2,160,56,60,11809.9
171277,SN4555916,AMR-200,Geek+,AMR,2025-02-06,2025-05-14,Active,621.3,2.81,9122,Fusion,v5.5.1,Zone-E,Yellow,704.3,164,104,180,2467.5
171328,SN8489172,PalletBot,Boston Dynamics,AMR,2021-04-15,2021-07-19,Active,1140.7,0.78,4684,Fusion,v3.8.7,Zone-C,White,257.4,161,99,60,13959.9
174456,SN8082021,AMR-200,6 River Systems,AMR,2024-09-09,2025-02-09,Active,349.9,2.47,11972,Stereo Camera,v4.5.14,Zone-A,Yellow,357.6,185,62,30,3638.4
175999,SN9649056,AMR-200,GreyOrange,AMR,2019-04-25,2019-07-05,Active,1359.2,0.6,6081,ToF,v5.1.10,Zone-A,Yellow,768.5,217,53,90,13167.4
177350,SN9218382,PickBot-3,Locus Robotics,AMR,2023-01-20,2023-03-27,Active,752.8,2.81,2092,Stereo Camera,v4.1.13,Zone-A,Grey,757.2,192,123,30,14502.5
178884,SN8183620,NavBot-V2,Geek+,AMR,2021-10-28,2022-01-16,Under Maintenance,1135.4,2.9,275,Ultrasonic,v2.4.6,Zone-B,Yellow,580.5,81,69,90,2264.6
180325,SN3220525,AMR-200,Locus Robotics,Cobotic Arm,2020-01-04,2020-03-28,Under Maintenance,1275.3,2.31,2588,LiDAR,v2.7.4,Zone-C,Grey,83.1,136,97,60,1570.6
181042,SN7968676,AMR-500,GreyOrange,Cobotic Arm,2021-09-18,2021-11-14,Active,1498.2,3.07,8354,LiDAR,v3.7.17,Zone-B,Yellow,486.9,133,67,180,17092.8
181509,SN7628708,PalletBot,Geek+,Cobotic Arm,2024-07-17,2024-09-11,Active,339.8,0.79,6565,ToF,v2.2.14,Zone-D,Yellow,791.6,141,111,180,8340.2
182922,SN3605513,HeavyLifter,AutoStore,AMR,2020-09-15,2020-11-18,Active,433.9,1.33,4186,LiDAR,v5.8.11,Zone-C,Grey,759.1,144,45,180,11347.9
184759,SN7101745,AGV-Pro,AutoStore,Sorter,2018-01-23,2018-05-03,Idle,379.4,1.74,5880,ToF,v2.7.3,Zone-E,White,111.6,174,79,30,428.5
185225,SN3276723,AMR-200,GreyOrange,AGV,2020-02-01,2020-04-22,Under Maintenance,398.0,0.63,10089,Stereo Camera,v2.6.12,Zone-E,Yellow,334.9,127,100,180,5024.0
186751,SN5707813,AMR-200,GreyOrange,AMR,2024-09-12,2024-12-09,Active,875.8,1.84,6944,Fusion,v2.1.11,Zone-B,Yellow,273.0,102,88,365,9102.1
187503,SN8170746,AMR-200,6 River Systems,AMR,2023-11-01,2024-03-17,Idle,1490.3,1.3,885,Ultrasonic,v3.6.8,Zone-B,Blue,129.9,133,107,60,15953.1
193062,SN2696771,AMR-200,Boston Dynamics,Cobotic Arm,2024-07-30,2024-10-04,Active,1485.5,1.68,779,Stereo Camera,v4.4.7,Zone-D,White,565.0,196,59,60,4893.2
195528,SN4032575,SortBot-X,6 River Systems,AMR,2018-06-02,2018-11-15,Active,792.5,1.78,5888,Ultrasonic,v3.6.10,Zone-D,Orange,240.9,109,88,180,13955.7
196966,SN8157089,AMR-200,Locus Robotics,AGV,2019-09-16,2020-02-05,Reserved,960.3,3.14,4970,LiDAR,v4.5.4,Zone-B,Yellow,295.5,63,123,60,11923.2
197718,SN5084124,AGV-Pro,Fetch Robotics,Palletizer,2018-04-17,2018-06-12,Active,1290.7,1.31,10235,Stereo Camera,v5.5.14,Zone-B,Grey,99.6,216,76,90,2083.7
203076,SN9645635,SortBot-X,Fetch Robotics,AMR,2017-10-28,2018-01-13,Active,1399.7,3.18,7079,LiDAR,v5.8.13,Zone-E,Yellow,413.4,91,57,180,5287.8
206205,SN1071644,PickBot-3,AutoStore,AMR,2024-01-13,2024-03-10,Active,309.8,1.78,9130,Fusion,v5.4.14,Zone-D,Yellow,151.8,156,133,30,4289.2
206986,SN7496526,AMR-200,Fetch Robotics,Palletizer,2024-10-03,2024-12-12,Idle,795.2,1.48,7105,Ultrasonic,v3.6.1,Zone-A,Grey,362.7,188,125,90,7971.1
213652,SN8327783,PalletBot,Boston Dynamics,AGV,2018-12-04,2019-02-26,Decommissioned,1250.1,2.01,4274,Fusion,v5.2.13,Zone-C,Orange,140.4,103,114,90,11439.7
214819,SN9260739,SortBot-X,Boston Dynamics,AMR,2023-03-22,2023-05-10,Reserved,458.3,1.75,7956,Fusion,v2.1.19,Zone-G,Grey,764.5,114,127,60,7807.2
215302,SN2410788,SortBot-X,Fetch Robotics,Sorter,2021-11-17,2021-12-19,Active,662.5,1.27,7532,Fusion,v5.2.2,Zone-A,Orange,141.6,104,125,180,4409.2
216929,SN9857666,AMR-200,Boston Dynamics,Sorter,2018-04-03,2018-07-07,Active,1478.5,2.01,8698,LiDAR,v5.8.3,Zone-F,Yellow,431.9,83,122,60,12528.9
225777,SN4530503,AMR-200,6 River Systems,AGV,2024-06-02,2024-10-15,Idle,1477.6,0.96,2433,Fusion,v4.2.14,Zone-A,Grey,181.7,84,96,90,10524.6
225817,SN4168455,NavBot-V2,Fetch Robotics,Cobotic Arm,2024-04-03,2024-06-17,Active,1359.6,1.56,7770,Stereo Camera,v3.1.6,Zone-C,White,88.8,89,42,180,9352.5
226201,SN4199879,AMR-500,6 River Systems,AMR,2022-10-24,2023-04-01,Under Maintenance,1198.7,2.2,3568,Stereo Camera,v4.7.0,Zone-C,White,185.8,133,105,60,9984.0
226224,SN6744011,AMR-500,AutoStore,AMR,2020-09-17,2020-12-11,Idle,407.4,1.74,9524,Stereo Camera,v5.5.17,Zone-A,Grey,72.2,144,70,180,4002.0
227135,SN6933640,AGV-Pro,Locus Robotics,AGV,2023-06-06,2023-11-18,Active,484.7,2.97,9622,LiDAR,v5.1.1,Zone-G,Orange,137.3,62,125,30,12251.0
230071,SN5265394,PickBot-3,Fetch Robotics,AMR,2021-02-14,2021-04-20,Under Maintenance,823.2,1.27,7572,LiDAR,v5.1.2,Zone-C,Yellow,410.0,195,91,90,6981.1
236348,SN1639326,HeavyLifter,GreyOrange,Cobotic Arm,2025-01-12,2025-05-02,Active,843.4,3.41,11371,LiDAR,v3.8.15,Zone-H,Yellow,531.9,168,139,30,6548.8
237080,SN9879657,AMR-500,Fetch Robotics,Sorter,2018-01-27,2018-06-20,Active,760.7,2.85,6542,LiDAR,v4.1.6,Zone-B,Orange,97.3,71,105,90,2703.7
238860,SN2998923,NavBot-V2,Locus Robotics,AMR,2019-03-05,2019-04-12,Active,956.8,3.4,496,Stereo Camera,v4.1.10,Zone-F,Yellow,369.6,194,100,180,10747.1
244619,SN1844270,AMR-200,Zebra Tech,AGV,2024-09-20,2025-03-08,Active,615.4,3.01,7353,Fusion,v2.2.4,Zone-G,Grey,477.6,64,141,180,10851.9
244916,SN6376442,PickBot-3,Zebra Tech,AMR,2019-11-30,2020-02-22,Idle,1125.0,0.93,9376,ToF,v4.8.2,Zone-D,Grey,210.4,149,92,365,6132.0
245144,SN4711373,PickBot-3,6 River Systems,Sorter,2020-01-08,2020-04-21,Idle,503.7,2.08,1394,Stereo Camera,v5.5.19,Zone-B,Yellow,316.5,134,81,90,15478.7
248146,SN6540104,AMR-200,Boston Dynamics,AMR,2023-07-12,2023-11-13,Reserved,499.4,1.01,1434,Stereo Camera,v5.0.14,Zone-E,Yellow,85.3,140,80,180,15219.8
248706,SN8879850,AMR-200,Geek+,Cobotic Arm,2019-01-22,2019-05-28,Reserved,195.2,2.95,3423,Stereo Camera,v4.1.5,Zone-D,Grey,199.5,212,136,90,1971.9
249592,SN1875921,AGV-Pro,Geek+,AGV,2021-09-19,2021-10-22,Active,287.1,2.25,10162,LiDAR,v5.4.6,Zone-G,Blue,389.4,208,123,365,12513.7
250275,SN3556461,HeavyLifter,Locus Robotics,AGV,2019-09-07,2020-02-14,Active,1276.5,1.29,6423,Ultrasonic,v3.7.5,Zone-C,Orange,792.6,104,57,90,7095.1
253533,SN5649143,PickBot-3,Geek+,Cobotic Arm,2019-02-18,2019-06-21,Idle,672.2,3.29,11721,LiDAR,v2.5.19,Zone-B,Grey,797.1,152,94,180,17994.9
257666,SN8090134,NavBot-V2,Fetch Robotics,Cobotic Arm,2024-08-29,2025-02-24,Reserved,345.7,0.85,10501,ToF,v2.2.9,Zone-A,Yellow,784.3,213,80,60,4058.2
259095,SN6405786,PalletBot,Boston Dynamics,AGV,2019-03-18,2019-06-26,Active,1140.2,2.19,6747,Ultrasonic,v2.5.5,Zone-E,Orange,355.8,176,111,90,5056.6
261510,SN4445048,AGV-Pro,GreyOrange,Sorter,2018-05-14,2018-09-13,Active,833.2,2.66,8212,Stereo Camera,v2.2.18,Zone-H,Yellow,92.1,202,45,180,7963.5
262631,SN6490550,PalletBot,Fetch Robotics,Palletizer,2022-09-26,2022-12-31,Active,36.6,0.68,4105,Fusion,v5.4.8,Zone-A,Grey,279.2,129,118,60,4844.2
264294,SN9819805,AMR-200,Fetch Robotics,AGV,2023-12-26,2024-06-06,Active,478.0,2.29,1266,LiDAR,v5.1.13,Zone-E,White,213.0,105,121,60,12459.0
269402,SN5320481,AMR-200,6 River Systems,AGV,2018-07-11,2018-12-12,Idle,269.6,2.95,4905,Fusion,v4.6.4,Zone-G,Grey,40.9,141,64,365,8661.5
270524,SN8951767,PalletBot,Zebra Tech,AMR,2022-10-17,2023-04-01,Active,985.5,0.7,7188,ToF,v4.5.17,Zone-A,Yellow,103.3,190,56,90,3983.6
275174,SN8019605,PalletBot,GreyOrange,Sorter,2021-09-21,2022-01-04,Idle,416.2,2.04,2349,Ultrasonic,v2.5.16,Zone-A,Yellow,379.0,208,109,60,9119.7
279917,SN3711882,AMR-200,6 River Systems,AGV,2023-10-01,2024-02-26,Under Maintenance,102.1,1.28,2816,ToF,v3.6.1,Zone-E,Yellow,291.5,169,68,60,15999.3
281322,SN3245527,AGV-Pro,Zebra Tech,AGV,2018-09-18,2018-12-10,Under Maintenance,87.1,2.49,376,Ultrasonic,v4.5.3,Zone-D,Grey,168.9,173,143,90,14265.2
282126,SN7931737,PickBot-3,Fetch Robotics,AMR,2024-12-18,2025-03-27,Active,874.7,0.86,8861,Fusion,v2.6.4,Zone-A,White,581.4,141,125,90,8983.9
282464,SN2867317,PalletBot,Locus Robotics,Sorter,2022-03-13,2022-08-04,Active,37.5,3.31,10813,Stereo Camera,v3.0.19,Zone-F,Yellow,305.0,111,145,365,5200.0
293125,SN4031708,PickBot-3,Locus Robotics,AGV,2024-02-17,2024-03-30,Idle,1273.9,3.18,9963,Ultrasonic,v4.8.3,Zone-C,Orange,685.9,127,98,365,3246.2
304218,SN3118571,AGV-Pro,Fetch Robotics,Cobotic Arm,2020-04-24,2020-09-07,Under Maintenance,237.3,1.06,4683,ToF,v2.5.12,Zone-G,Orange,215.6,139,143,90,15812.1
304514,SN6457264,AMR-500,6 River Systems,AMR,2024-11-27,2024-12-29,Active,911.8,1.47,7202,Stereo Camera,v5.8.16,Zone-F,Yellow,444.6,190,41,90,12785.9
307192,SN3647257,AGV-Pro,Locus Robotics,Palletizer,2022-04-29,2022-08-24,Under Maintenance,669.8,2.26,11537,Fusion,v2.2.18,Zone-F,Yellow,171.8,148,71,60,10303.2
310545,SN6926326,PickBot-3,Locus Robotics,AMR,2018-08-31,2018-12-10,Active,667.1,2.65,7178,Stereo Camera,v4.7.11,Zone-C,Grey,411.4,186,40,180,15831.0
312809,SN9413596,PalletBot,Fetch Robotics,AMR,2024-07-27,2024-11-04,Under Maintenance,112.3,1.83,3691,Stereo Camera,v2.4.16,Zone-B,Orange,147.4,64,114,60,2199.2
314889,SN8466357,AGV-Pro,Fetch Robotics,Sorter,2023-08-13,2023-11-25,Active,1205.1,0.97,4195,LiDAR,v4.1.4,Zone-C,Grey,154.4,181,96,60,12288.0
315601,SN9531584,AMR-200,AutoStore,Palletizer,2019-12-11,2020-03-23,Active,1340.1,0.81,8780,LiDAR,v5.8.15,Zone-A,Orange,501.4,141,71,365,3908.7
319485,SN1220057,AMR-200,Fetch Robotics,AMR,2021-10-18,2022-01-17,Active,21.5,3.5,5465,Ultrasonic,v2.5.16,Zone-D,White,233.1,219,73,180,2179.2
320932,SN5099097,SortBot-X,Boston Dynamics,AGV,2020-08-11,2020-11-16,Active,272.0,1.87,10080,Stereo Camera,v4.5.9,Zone-A,White,162.7,135,110,60,8386.3
330368,SN2981420,PalletBot,Boston Dynamics,Cobotic Arm,2021-09-18,2022-01-11,Active,1356.3,3.12,10396,Stereo Camera,v2.2.14,Zone-C,Blue,745.9,136,59,90,6979.2
335025,SN9260815,AMR-200,Locus Robotics,Sorter,2024-10-06,2025-02-27,Active,826.5,1.95,622,LiDAR,v2.0.7,Zone-A,White,63.1,80,96,90,16941.7
337172,SN7407259,AMR-200,GreyOrange,AGV,2024-05-11,2024-08-31,Active,229.3,3.27,8735,Stereo Camera,v5.5.11,Zone-B,White,465.2,189,107,60,5838.4
339282,SN3881988,PickBot-3,Locus Robotics,AGV,2019-04-03,2019-08-07,Idle,308.2,0.76,4565,Ultrasonic,v4.0.6,Zone-B,White,452.2,172,66,60,14670.1
340277,SN6071708,AMR-200,Fetch Robotics,Cobotic Arm,2024-10-12,2025-03-16,Active,991.7,0.84,6333,Fusion,v2.6.15,Zone-D,Orange,223.0,197,65,60,13481.4
345017,SN6448888,PalletBot,Boston Dynamics,Cobotic Arm,2020-10-04,2021-03-31,Idle,1088.6,3.29,3324,LiDAR,v3.2.6,Zone-F,White,378.6,74,78,90,12026.0
348262,SN5460445,AMR-500,AutoStore,Sorter,2023-02-06,2023-03-24,Under Maintenance,901.1,3.34,4545,Stereo Camera,v5.4.15,Zone-A,Blue,97.6,93,105,90,16568.0
348893,SN5269169,AMR-200,Geek+,AGV,2023-04-18,2023-09-01,Active,1430.0,1.44,4098,Stereo Camera,v3.6.10,Zone-F,Grey,585.4,200,67,90,7348.6
349083,SN1496889,NavBot-V2,Geek+,AMR,2021-05-29,2021-07-31,Active,743.6,1.57,794,ToF,v3.7.14,Zone-F,Orange,200.7,66,81,60,7020.2
349409,SN5072156,AMR-200,Geek+,Palletizer,2021-03-23,2021-05-21,Under Maintenance,453.9,1.86,9436,Stereo Camera,v5.8.4,Zone-B,Grey,178.9,141,99,365,2905.4
353110,SN4134482,AMR-500,6 River Systems,Sorter,2020-12-23,2021-05-20,Under Maintenance,718.5,1.75,1887,Stereo Camera,v2.5.6,Zone-D,White,272.5,124,60,90,4971.0
353245,SN8364252,AMR-200,Fetch Robotics,Sorter,2024-04-14,2024-05-24,Active,542.7,1.07,4634,Stereo Camera,v3.2.7,Zone-C,Grey,724.8,210,102,180,15837.2
356102,SN8785901,AMR-200,Locus Robotics,AMR,2020-06-08,2020-11-12,Under Maintenance,340.5,3.2,2477,Stereo Camera,v3.3.14,Zone-A,White,643.3,197,55,60,8544.1
359495,SN7753742,AMR-200,GreyOrange,AMR,2019-09-06,2020-01-29,Active,73.7,1.26,2095,Stereo Camera,v4.4.2,Zone-C,White,759.1,203,55,90,6150.9
361825,SN1278035,AMR-200,Boston Dynamics,Cobotic Arm,2020-03-11,2020-09-06,Active,531.6,2.62,4605,Stereo Camera,v4.1.6,Zone-A,Blue,532.0,106,66,180,3897.9
364234,SN8571042,AMR-200,AutoStore,AMR,2019-02-02,2019-06-12,Idle,1068.6,0.7,11041,Ultrasonic,v3.1.7,Zone-F,Yellow,540.4,154,71,60,8734.4
365277,SN4567925,AMR-200,Locus Robotics,Palletizer,2020-06-19,2020-11-26,Active,32.6,0.62,11340,ToF,v3.7.17,Zone-G,Orange,399.6,172,43,60,12902.8
